kernel name,param1,size,param2,size,param3,size,param4,size,param5,size,param6,size
fused_nn_conv2d_add_nn_relu_kernel0,476,1605632,477,294912,479,50176,478,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,479,50176,480,32768,482,1605632,481,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,482,1605632,483,294912,485,50176,484,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,485,50176,486,32768,488,1605632,487,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,488,1605632,489,294912,491,50176,490,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,491,50176,492,32768,494,1605632,493,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,494,1605632,495,294912,497,50176,496,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,497,50176,498,32768,500,1605632,499,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,500,1605632,501,294912,503,50176,502,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,503,50176,504,32768,506,1605632,505,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,506,1605632,507,294912,509,50176,508,64,-1,-1,-1,-1
fused_nn_avg_pool2d_kernel0,509,50176,510,1024,-1,-1,-1,-1,-1,-1,-1,-1
fused_nn_batch_flatten_kernel0,511,1024,510,1024,-1,-1,-1,-1,-1,-1,-1,-1
fused_nn_dense_add_kernel0,511,1024,512,64000,514,64000,513,4000,-1,-1,-1,-1
